R version 4.3.1 (2023-06-16) 
333 packages installed

Package	Version
timeDate	4022.108
tinytex	0.60
tools	4.3.1
topGO	2.54.0
treeio	1.26.0
truncnorm	1.0-9
tseries	0.10-54
TTR	0.24.3
tune	1.1.2
tweenr	2.0.3
tximport	1.30.0
tzdb	0.4.0
urca	1.3-3
urlchecker	1.0.1
usethis	2.2.2
utf8	1.2.3
utils	4.3.1
uuid	1.1-1
vctrs	0.6.4
VennDiagram	1.8.2
viridis	0.6.5
viridisLite	0.4.2
vroom	1.6.4
waldo	0.5.1
warp	0.2.0
whisker	0.4.1
withr	3.0.3
workflows	1.1.3
workflowsets	1.0.1
xfun	0.60
xml2	1.3.5
xopen	1.0.0
xtable	1.8-4
xts	0.13.1
XVector	0.42.0
yaml	2.3.7
yardstick	1.2.0
yulab.utils	0.1.0
zCompositions	1.6.2
zigg	0.0.2
zip	2.3.0
zlibbioc	1.48.2
zoo	1.8-12
